마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
R,소매업,R19,전자상거래,R190,NULL,R19012,전_온라인강의,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19013,전_종합쇼핑몰,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19014,전_통신,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19015,전_통행료,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19016,전_후원/기부금,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19017,통신판매,G47919,기타 통신 판매업,G47,G47
S,서비스,S02,(정기)납부/대여서비스,S024,방송/미디어,S02401,CATV홈쇼핑,G47919,기타 통신 판매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08001,계약배달판매업,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08002,기타노점업,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08003,네트워크마케팅,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08004,방문판매업,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08005,자동판매기,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08006,차량이동판매,G47920,노점 및 유사이동 소매업,G47,G47
R,소매업,R08,노점/무점포 소매,R080,NULL,R08007,현금서비스,G47920,노점 및 유사이동 소매업,G47,G47
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02103,대중교통,H49212,시내버스 운송업,H,H49
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02106,택시,H49231,택시 운송업,H,H49
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02104,여객선,H50202,항만 내 여객 운송업,H,H50
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02105,철도,H50202,항만 내 여객 운송업,H,H50
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02107,항공,H51100,항공 여객 운송업,H,H51
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02101,고속버스,H49220,시외버스 운송업,H,H49
S,서비스,S04,생활편의서비스,S045,차량관련서비스,S04505,주차장,H52915,주차장 운영업,H,H52
S,서비스,S01,(비정기)전문서비스,S013,운송서비스,S01301,이삿짐센터,H52919,기타 육상 운송지원 서비스업,H,H52
S,서비스,S01,(비정기)전문서비스,S013,운송서비스,S01302,화물운송/보관,H52919,기타 육상 운송지원 서비스업,H,H52
S,서비스,S02,(정기)납부/대여서비스,S021,교통/운송서비스,S02102,기타운송수단,H52999,그 외 기타 분류 안된 운송관련 서비스업,H,H52
S,서비스,S05,여가/오락서비스,S050,숙박,S05008,일반/관광호텔,I55101,호텔업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05009,특급호텔,I55101,호텔업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05001,게스트하우스/민박,I55104,민박업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05004,레지던스,I55103,휴양콘도 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05005,리조트/콘도,I55103,휴양콘도 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05010,펜션,I55103,휴양콘도 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05006,모텔/여관/여인숙,I55102,여관업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05002,고시원,I55109,기타 일반 및 생활 숙박시설 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05003,기숙사,I55109,기타 일반 및 생활 숙박시설 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05007,연수/수련원,I55109,기타 일반 및 생활 숙박시설 운영업,I55,I55
S,서비스,S05,여가/오락서비스,S050,숙박,S05011,하숙업,I55109,기타 일반 및 생활 숙박시설 운영업,I55,I55
F,음식,F06,뷔페,F060,NULL,F06001,고기뷔페,I56111,한식 일반 음식점업,I56,I56
F,음식,F06,뷔페,F060,NULL,F06002,웨딩뷔페,I56111,한식 일반 음식점업,I56,I56
F,음식,F06,뷔페,F060,NULL,F06003,일반뷔페,I56111,한식 일반 음식점업,I56,I56
F,음식,F06,뷔페,F060,NULL,F06004,한식뷔페,I56111,한식 일반 음식점업,I56,I56
F,음식,F06,뷔페,F060,NULL,F06005,해물뷔페,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16001,갈비탕전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16002,국밥전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16003,기사식당,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16004,김치찜/찌개전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16005,된장찌개전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16006,두부요리전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16007,버섯전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16008,보리밥전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16009,부대찌개전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16010,북어국전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16011,비빔밥전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16012,샤브샤브전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16013,설렁탕/곰탕전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16014,순대전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16015,순두부전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16016,육개장전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16017,일반한식/백반,I56111,한식 일반 음식점업,I56,I56
